enrollment_id,student_id,course_id
1,1,4
2,1,1
3,1,5
4,1,2
5,2,2
6,2,3
7,2,6
8,2,8
9,3,3
10,3,5
11,3,1
12,3,4
13,4,3
14,4,7
15,4,6
16,4,5
17,5,5
18,5,2
19,5,6
20,5,7
21,6,4
22,6,1
23,6,5
24,6,6
25,7,8
26,7,5
27,7,7
28,7,4
29,8,8
30,8,6
31,8,1
32,8,2
33,9,3
34,9,7
35,9,2
36,9,4
37,10,3
38,10,6
39,10,5
40,10,4
41,11,3
42,11,6
43,11,8
44,11,7
45,12,2
46,12,1
47,12,6
48,12,8
49,13,8
50,13,3
51,13,2
52,13,4
53,14,8
54,14,3
55,14,6
56,14,5
57,15,2
58,15,4
59,15,1
60,15,3
61,16,7
62,16,5
63,16,4
64,16,1
65,17,4
66,17,6
67,17,2
68,17,7
69,18,6
70,18,7
71,18,5
72,18,1
73,19,3
74,19,8
75,19,7
76,19,4
77,20,2
78,20,7
79,20,3
80,20,6
81,21,6
82,21,4
83,21,8
84,21,2
85,22,7
86,22,1
87,22,2
88,22,5
89,23,3
90,23,8
91,23,1
92,23,2
93,24,8
94,24,6
95,24,2
96,24,3
97,25,1
98,25,6
99,25,7
100,25,8
101,26,3
102,26,2
103,26,7
104,26,1
105,27,3
106,27,4
107,27,7
108,27,1
109,28,8
110,28,4
111,28,2
112,28,7
113,29,5
114,29,2
115,29,7
116,29,8
117,30,1
118,30,2
119,30,5
120,30,6
121,31,8
122,31,7
123,31,5
124,31,4
125,32,4
126,32,3
127,32,8
128,32,7
129,33,7
130,33,8
131,33,2
132,33,6
133,34,3
134,34,1
135,34,4
136,34,2
137,35,3
138,35,5
139,35,8
140,35,2
141,36,2
142,36,1
143,36,6
144,36,4
145,37,4
146,37,6
147,37,1
148,37,3
149,38,3
150,38,5
151,38,6
152,38,1
153,39,5
154,39,1
155,39,7
156,39,2
157,40,6
158,40,4
159,40,7
160,40,1
161,41,2
162,41,5
163,41,7
164,41,4
165,42,4
166,42,8
167,42,6
168,42,5
169,43,8
170,43,7
171,43,6
172,43,2
173,44,7
174,44,1
175,44,8
176,44,4
177,45,7
178,45,8
179,45,1
180,45,6
181,46,7
182,46,3
183,46,2
184,46,6
185,47,6
186,47,4
187,47,1
188,47,3
189,48,4
190,48,1
191,48,3
192,48,8
193,49,8
194,49,1
195,49,3
196,49,5
197,50,2
198,50,5
199,50,1
200,50,4
