slot_id,course_id,day_of_week,start_time,end_time,room_location,latitude,longitude
1,1,Wednesday,10:00:00,11:30:00,Room-268,33.876949,71.562281
2,1,Tuesday,10:00:00,11:30:00,Room-465,34.222941,71.576211
3,6,Tuesday,10:00:00,11:30:00,Room-305,34.207189,71.187183
4,5,Monday,8:00:00,9:30:00,Room-280,34.131491,71.690494
5,4,Wednesday,13:00:00,14:30:00,Room-126,33.845332,71.620263
6,3,Tuesday,14:00:00,15:30:00,Room-454,34.474105,71.264081
7,5,Wednesday,13:00:00,14:30:00,Room-439,33.540459,71.406808
8,7,Monday,8:00:00,9:30:00,Room-494,33.845084,71.128868
9,6,Friday,13:00:00,14:30:00,Room-304,34.182684,71.488157
10,4,Friday,12:00:00,13:30:00,Room-388,33.981641,71.560464
11,1,Wednesday,8:00:00,9:30:00,Room-485,34.42048,71.471044
12,5,Tuesday,8:00:00,9:30:00,Room-371,33.507257,71.330711
13,4,Monday,10:00:00,11:30:00,Room-311,34.291231,71.378286
14,7,Wednesday,8:00:00,9:30:00,Room-118,33.833273,71.617827
15,4,Wednesday,8:00:00,9:30:00,Room-454,33.766711,71.319137
